RX Date/Time,Mask Temp(field 1),Room Temp(field 2),Delta(field 3),Tank Temp(field 4)
2022/07/15/ 14:46:38::723,Temp Test,11.6875,22.375,0.4375,10.6875
2022/07/15/ 14:46:43::787,Temp Test,11.6875,22.375,0.4375,10.6875
2022/07/15/ 14:46:48::851,Temp Test,11.6875,22.375,0.4375,10.6875
2022/07/15/ 14:46:53::918,Temp Test,11.625,22.375,0.375,10.75
2022/07/15/ 14:46:58::979,Temp Test,11.625,22.3125,0.375,10.6875
2022/07/15/ 14:47:04::043,Temp Test,11.625,22.3125,0.375,10.6875
2022/07/15/ 14:47:09::107,Temp Test,11.625,22.3125,0.375,10.6875
2022/07/15/ 14:47:14::172,Temp Test,11.625,22.3125,0.4375,10.6875
2022/07/15/ 14:47:19::236,Temp Test,11.625,22.3125,0.4375,10.6875
2022/07/15/ 14:47:24::300,Temp Test,11.625,22.375,0.375,10.75
2022/07/15/ 14:47:29::364,Temp Test,11.5625,22.375,0.4375,10.8125
2022/07/15/ 14:47:34::427,Temp Test,11.5625,22.3125,0.4375,10.75
2022/07/15/ 14:47:39::491,Temp Test,11.5625,22.375,0.375,10.8125
2022/07/15/ 14:47:44::555,Temp Test,11.5625,22.375,0.375,10.8125
2022/07/15/ 14:47:49::619,Temp Test,11.5625,22.3125,0.4375,10.75
2022/07/15/ 14:47:54::685,Temp Test,11.5625,22.375,0.4375,10.8125
2022/07/15/ 14:47:59::749,Temp Test,11.5625,22.3125,0.375,10.75
2022/07/15/ 14:48:04::812,Temp Test,11.5625,22.3125,0.375,10.75
2022/07/15/ 14:48:09::877,Temp Test,11.5625,22.3125,0.4375,10.75
2022/07/15/ 14:48:14::941,Temp Test,11.5,22.375,0.4375,10.875
2022/07/15/ 14:48:20::005,Temp Test,11.5,22.3125,0.4375,10.8125
2022/07/15/ 14:48:25::069,Temp Test,11.5,22.375,0.375,10.875
2022/07/15/ 14:48:30::133,Temp Test,11.5,22.3125,0.4375,10.8125
2022/07/15/ 14:48:35::197,Temp Test,11.5625,22.375,0.4375,10.8125
2022/07/15/ 14:48:40::261,Temp Test,11.5625,22.3125,0.4375,10.75
2022/07/15/ 14:48:45::325,Temp Test,11.5,22.3125,0.4375,10.8125
2022/07/15/ 14:48:50::389,Temp Test,11.5,22.3125,0.4375,10.8125
2022/07/15/ 14:48:55::452,Temp Test,11.5,22.3125,0.4375,10.8125
2022/07/15/ 14:49:00::517,Temp Test,11.5,22.3125,0.4375,10.8125
2022/07/15/ 14:49:05::582,Temp Test,11.4375,22.3125,0.4375,10.875
2022/07/15/ 14:49:10::645,Temp Test,11.4375,22.3125,0.4375,10.875
2022/07/15/ 14:49:15::709,Temp Test,11.4375,22.3125,0.4375,10.875
2022/07/15/ 14:49:20::773,Temp Test,11.4375,22.3125,0.4375,10.875
2022/07/15/ 14:49:25::838,Temp Test,11.4375,22.3125,0.4375,10.875
2022/07/15/ 14:49:30::902,Temp Test,11.4375,22.3125,0.4375,10.875
